0x7036  הצוות סרב להצעה.
0x704F  עברו יומיים ואתה מוצא
0x706D  צוות חדש
0x70FC  ~ם שקל.
0x717A   טון 
0x7238  סוחר זקוק בדחיפות לסחורה.
0x726E  ~ם ש"ח
0x7280  הוא מוכן להציע לך 
0x72B2  , אם תמכור לו
0x72CD  לכל טון של
0x72F7  ~ם הטון שלך.
0x733B  האם אתה מעונין למכור לו ? )כ/ל(
0x73C3  נמכר !!!
0x7453  סוחר זקוק בדחיפות לסחורה.
0x7489  ~ם ש"ח
0x749B  הוא מוכן להציע לך 
0x74CD  , אם תמכור לו
0x74E8  לכל טון של
0x7512  ~ם הטון שלך.
0x7556  האם אתה מעונין למכור לו ? )כ/ל(
0x75DE  נמכר !!!
0x766E  סוחר זקוק בדחיפות לסחורה.
0x76A4  ~ם ש"ח
0x76B6  הוא מוכן להציע לך 
0x76E8  , אם תמכור לו
0x7703  לכל טון של
0x772D  ~ם הטון שלך.
0x7771  האם אתה מעונין למכור לו ? )כ/ל(
0x77F9  נמכר !!!
0x7982  Fכף&
0x799C   טון 
0x79A2  ~םרY
0x79B2  סוחר מעונין למכור לך 
0x79F0  ~ם שקל לטון
0x7A07  במחיר 
0x7A36  האם אתה מעונין לקנות ? )כ/ל(
0x7ADB  קנית !!!            
0x7B6C  fishing.scr
0x7C0E  ~םyad
0x7C3A  newday.scr
0x7CBF  כספך אינו מאפשר לך
0x7CDA  קנית סחורות
0x7E4F  ת~םLLנא
0x7EC8  כספך אינו מאפשר לך
0x7EDD  Fכע^
0x7EF4  לקנות
0x7F39  Fכש8
0x7F59  ~םםO
0x7F91  Fכש=
0x7FA3  ~םLן,
0x7FEA  FכWק
0x8032  Fכר?
0x8057  אין לך כל-כך הרבה
0x8071  Fכלמכור
0x810F  אין  לך  סחורה  למכור
0x8140  LLםן
0x81E5  מצרים
0x8241  ~םLLלמ
0x82BC  ~םLל
0x82E4  Fכלמכור
0x8301  אין לך
0x8334  ~םץ]
0x8357  Fכץ:
0x837A  FכץT
0x83A9  Fכץ%
0x83F0  ~םפב
0x83FD  Fכפפ
0x8404  FכWק
0x841A  +סYץ
0x848D  ~םLLךB
0x84E0  אין לך כסף להפקיד !
0x8531  ~םחw
0x8551  ~םף@
0x85D4  פקיד הבנק קיבל את הכסף
0x8623  אין לך כל כך הרבה כסף !
0x870C  ~םסe
0x8725  ~םסL
0x8732  ~םס_
0x8766  קיבלת את הכסף
0x87AC  אין לך סכום כסף כזה בבנק !
0x880D  אין לך כסף בבנק !
0x88C8  ~םLLז
0x88E8  ץGי6
0x88F2  ףGי6
0x8907  ץGי6
0x8911  ףGי6
0x8926  ץGי6
0x8930  ~םףGי6
0x894C  PץGכ6
0x8958  PףGכ6
0x898B  PץGכ6
0x8A95  Nחך6
0x8B26  זכש0
0x8B7E  זכם&
0x8B90  FכםM
0x8BA2  ^כמR
0x8BA7  Sחי6
0x8BEE  Qחי6
0x8C02  Sחכ6
0x8C0B  Qחכ6
0x8C1D  Sחכ6
0x8C28  Qחכ6
0x8C33  Qחכ6
0x8C3E  Qחי6
0x8D03  ^ככמ
0x8D2F  ^ככB
0x8D40  FככQ
0x8D5B  בנוסף, נגרם
0x8D6F  לספינה נזק בשווי
0x8D88  ^כ שקלים.
0x8DB6  לרוע מזלך, ספינתך
0x8DD0  נפגעה תוך כדי הקרב.
0x8DEC  ^כ ש"ח.
0x8E03  שווי הנזק 
0x8E54  Fיבה
0x8E74  ^כPH
0x8EB8  לאחר קרב ממושך -
0x8ED1  הבסת את הפירטים !
0x8F18  לקחת בשבי את ספינת
0x8F33  שודדי הים, וקיבולת הספינה
0x8F55  שלך גדלה ב-05 טון.
0x9006  ^כטכ
0x9031  ^כט`
0x905E  ^כט3
0x908E  מצאת מטמון של 
0x90A5  ^כ שקל על ספינתם
0x90DC  ^כחץ
0x9135  ללא הגנת ספינות משמר,
0x9153  אתה הובסת על ידי הפירטים
0x919C  הפירטים התגברו על ספינת
0x91BC  המשמר שלך
0x91F6  הפירטים ניצחו את
0x920F  ^כ ספינות המשמר שלך
0x9329  ^כוh
0x9354  ^כו=
0x935F  ^כWק
0x937C  +סYז|
0x93B5  אחרי קרב קשה     
0x93CF  גנבו ממך שודדי הים 
0x93E5  ^כ}V
0x9400   טון
0x9450  ן\(zה0
0x94FF  ^כדr
0x9510  ^כדב
0x9540  ^כ שקלים
0x9558  הם גנבו ממך 
0x961A  ^כגw
0x9646  ^כג+
0x9667  לרוע מזלך, ספינתך
0x9681  נפגעה תוך כדי הקרב.
0x969D  ^כ ש"ח
0x96B3  שווי הנזק 
0x971D  ^כם9
0x9722  Oחכ6
0x977D  ר~םLLwR
0x985D  Fיw{
0x98AD  ספינתך כבדה מדי, ולא
0x98CA  הצליחה לברוח
0x990D  לא הצלחת לברוח עקב
0x9928  הנזק שבספינתך
0x9957  ספינת הפירטים המהירה הצליחה
0x997B  להשיג את ספינתך
0x99BE  הצלחת  להמלט  מהם  ! !
0x9A3E  שודדי הים החליטו לקבל
0x9A5C  את הצעתך
0x9A8F  שודדי הים דוחים את
0x9AAA  הצעתך ותוקפים אותך !
0x9AF6  Fיu0
0x9C42  ^כנג
0x9C64  ישראל
0x9C7A  תורכיה
0x9C91  ישראל
0x9CAF  כתוצאה מרוחות חזקות
0x9CCB  וטעות בנווט, הגעת
0x9CDF  ^כt\
0x9CF0   במקום ל
0x9D1F  מצרים
0x9D33  תורכיה
0x9D3A  >tY#
0x9D49  Nחך6
0x9D56  Nחט6
0x9D79  ~םLqV
0x9DEB  ה ס פ י נ ה   נ ע צ ר ה
0x9E9F  הגלים הגבוהים שטפו מספינתך
0x9EDD   טון 
0x9F31  עקב הסערה נגרם לספינתך
0x9F50  ~ם ש"ח.
0x9F63  נזק בשווי 
0x9FCD  עקב תנאי הראות הגרועים
0x9FEC  בלילה - עלית על שרטון.
0xA021  נגרם לספינתך נזק
0xA03A  ~ם ש"ח.
0xA04D  בשווי 
0xA07F  FךלE
0xA09B  הנסיעה בספינתך הניזוקה
0xA0B4  ~םpח
0xA0C1  החמירה את הנזק ב-
0xA0DE  שקל נוספים.
0xA102  נגרם לספינתך נזק
0xA11B  ~ם ש"ח.
0xA12E  בשווי 
0xA17D  FכLmR
0xA1A3  ה ס פ י נ ה   נ ע צ ר ה
0xA210  נאלצת להשליך לים
0xA23A   טון
0xA2AC  Sחכ6
0xA2B7  Qחכ6
0xA2F0  dוכק
0xA2FF  fוכק
0xA328   סגור זמנית
0xA341  נמל 
0xA351  עקב ערפל כבד
0xA39F  בשל שביתה ושיבושים
0xA3C1  בעבודה, נמל 
0xA3D9   סגור
0xA404  עליך לחזור ל
0xA44A  Nחט6
0xA453  Fךj|
0xA45E  dוכק
0xA46D  fוכק
0xA497  Nחט6
0xA4FF  ה ס פ י נ ה   נ ע צ ר ה
0xA536  Oחכ6
0xA57E  ה ס פ י נ ה   נ ע צ ר ה
0xA627  Fכfב
0xA647  Fכ טון 
0xA72A  ~םות
0xA768  ~םq)
0xA804  ז~םd
0xA80E  כמה ספינות אתה רוצה ?
0xA847  ם ש"ח
0xA872  מחיר כל ספינת משמר
0xA895  בעלי ספינות המשמר דורשים
0xA8E8  ~ם, בשל הים הסוער.
0xA913  ~ם בשל הסיכון המוגבר
0xA955  ז~םg
0xA9A2  ^כpV
0xA9A7  Oחי6
0xA9C9  Oחכ6
0xA9EF  אין לך כסף לשלם
0xAA07  לספינות משמר
0xAA2A  Oחי6
0xAA6C  Oחי6
0xAA74  Oחכ6
0xAA90  Oחכ6
0xAAC6  Oחכ6
0xAAEA  Nחך6
0xAB07  Nחך6
0xAB1B  Nחט6
0xAB3E  LLcס
0xAB5E  FךWק
0xAB75  FךcZ
0xAB80  dוכק
0xAB8F  fוכק
0xAB9E  dוכק
0xABAD  fוכק
0xABCB  Nחט6
0xABEF  ^כPש
0xAC24  FךWק
0xAC55  Nחך6
0xAC69  Nחט6
0xAC7F  FךbP
0xAC8A  dוכק
0xAC99  fוכק
0xACA8  dוכק
0xACB7  fוכק
0xACD5  Nחט6
0xACEC  FךWק
0xAD11  dוכק
0xAD20  fוכק
0xAD2F  dוכק
0xAD3E  fוכק
0xAD72  ה ג ע ת   ב ש ל ו ם  ! !
0xAE4B  LL`ה
0xAEA1  .`LL
0xAEC1  םLL`
0xAEEC  םLL_
0xAF1C  םLL_
0xAF64  ישראל
0xAF78  ישראל
0xAFCA  השעה מאוחרת
0xAFDE  ולא תוכל להגיע
0xAFF5  לשם היום
0xB096  ~םP`
0xB0D5  ~םP`
0xB13A  Oזכ_
0xB1FD  אין לך כל-כך הרבה כסף
0xB2A4  FיgT
0xB2AD  FכL\"
0xB2ED  Fכeה
0xB362  הספינה כעת תקינה לחלוטין
0xB3A5  ~ם ש"ח
0xB3B7  נשאר נזק בסך 
0xB415  Fטe_
