mem_start,mem_end,file_start,file_end,classification,entry_points,summary,confidence
0x4500,0x4501,0x4400,0x4401,string,"","tail of length-prefixed inline string begun after call at 0x44F5",high
0x4502,0x457A,0x4402,0x447A,code+inline-strings,"continuation of 0x4480","tail of day-sign resource loader; opens .sgn/ngs resource and returns far buffer",high
0x457B,0x4647,0x447B,0x4547,code+inline-strings,"0x457B","screen resource loader; constructs .scr name, loads resource and returns far buffer",high
0x4648,0x46CF,0x4548,0x45CF,code+inline-real,"0x4648","cargo value helper: sum cargo[i]*centerPrice[i] for i=1..3",high
0x46D0,0x4722,0x45D0,0x4622,code,"0x46D0","total cargo tons helper: sum cargo[1..3]",high
0x4723,0x4882,0x4623,0x4782,code+inline-real,"0x4723;0x472A","real-number formatter with nested fractional formatter; tail-calls runtime 0x1498",high
0x4883,0x4955,0x4783,0x4855,code+inline-real,"0x4883","selects highest center-valued cargo satisfying minimum-tonnage argument",high
0x4956,0x49EE,0x4856,0x48EE,code+inline-strings,"0x4956","weather display: goodwthr.scr or badwthr.scr according to port/weather name equality",high
0x49EF,0x4BED,0x48EF,0x4AED,code+inline-strings+inline-real,"0x49EF","status/dashboard renderer: port weather bank capacity damage and daily price/cargo matrix",high
0x4BEE,0x4C6C,0x4AEE,0x4B6C,code,"0x4BEE","keyboard/menu wrapper; refreshes status on D and returns key byte",medium
0x4C6D,0x4CE0,0x4B6D,0x4BE0,code+inline-strings,"0x4C6D","port-name to index mapping: Turkey=1 Israel=2 Egypt=3",high
0x4CE1,0x4D50,0x4BE1,0x4C50,code+inline-strings,"0x4CE1","port index to name formatter; tail-calls runtime 0x1498",high
0x4D51,0x4F58,0x4C51,0x4E58,code,"0x4D51","screen-coordinate menu engine; navigation keys and Enter/Esc result",high
0x4F59,0x52DD,0x4E59,0x51DD,code+inline-strings+inline-real,"0x4F59","interactive real-number input/editor with range validation",high
0x52DE,0x530E,0x51DE,0x520E,code,"0x52DE","integer wrapper around 0x4F59 using Trunc",high
0x530F,0x5458,0x520F,0x5358,code+inline-strings,"0x530F","Hebrew yes/no toggle and Enter confirmation",high
0x5459,0x545F,0x5359,0x535F,code,"0x5459","outer game procedure trampoline; unconditional jump to 0xB52A",high
0x5460,0x56DF,0x5360,0x55DF,code+inline-strings+inline-real,"0x5460","nested status/ledger renderer used by voyage and main loop",high
0x56E0,0x5717,0x55E0,0x5617,code,"0x56E0","single-byte predicate: true only when input byte equals 0x1A",high
0x5718,0x5799,0x5618,0x5699,code+inline-strings,"0x5718","cash affordability validator for a proposed real amount",high
0x579A,0x5CC8,0x569A,0x5BC8,code+inline-strings,"0x579A;0x57A6;0x584C","negotiation/payment procedure and nested amount validators",high
0x5CC9,0x5FE4,0x5BC9,0x5EE4,code+inline-real,"0x5CC9","shared loss routine: cargo cash overload and damage modes",high
0x5FE5,0x60F3,0x5EE5,0x5FF3,code,"0x5FE5","nine independent daily market-price rolls",high
0x60F4,0x6165,0x5FF4,0x6065,code,"0x60F4","weather selector: day 1 clear otherwise 3/8 storm at one random port",high
0x6166,0x6171,0x6066,0x6071,code,"0x6166","daily-event outer trampoline to body 0x64AE",high
0x6172,0x64AD,0x6072,0x63AD,code+inline-strings,"0x6172","nested price-shock writer/display helper for three ports",high
0x64AE,0x7CE0,0x63AE,0x7BE0,code+inline-strings+inline-real,"0x64AE","daily-event selector and handlers: shocks expansion crew theft two merchant events collision",high
0x7CE1,0x7D7E,0x7BE1,0x7C7E,code+inline-strings,"0x7CE1","new-day splash/resource display",high
0x7D7F,0x8111,0x7C7F,0x8011,code+inline-strings+inline-real,"0x7D7F","ordinary port purchase flow",high
0x8112,0x811D,0x8012,0x801D,code,"0x8112","sell-cargo outer trampoline to body 0x81BE",high
0x811E,0x81BD,0x801E,0x80BD,code+inline-strings,"0x811E","nested validator ensuring requested sale does not exceed held cargo",high
0x81BE,0x852C,0x80BE,0x842C,code+inline-strings+inline-real,"0x81BE","ordinary port sale flow",high
0x852D,0x87FF,0x842D,0x86FF,code+inline-strings,"0x852D","bank menu and deposit branch plus beginning of withdrawal branch; procedure continues beyond audit boundary",high
