start,end,kind,name,entry,notes
0x8800,0x8940,code+strings,bank_withdraw_tail,mid-procedure,"bank->cash; entry below range; includes complete epilogue"
0x8941,0x89B3,code,overweight_warning,0x8941,"arg vs capacity; boolean result; includes prologue and RET 3 operand"
0x89B4,0x8AC2,code,map_coordinate_helper,0x89B4,"port conversion and drawing; includes prologue and RET 11 operand"
0x8AC3,0x8ACF,thunk,travel_menu_thunk,0x8AC3,"jump 0xAEA2; includes PUSH BP prologue byte"
0x8AD0,0x8D75,code,map_animation,0x8AD0,"increments hour at 0x8C48; includes RET 10 operand"
0x8D76,0x8D85,thunk,voyage_body_thunk,0x8D76,"jump 0x9E62; includes PUSH BP prologue byte"
0x8D86,0x8D97,thunk,pirate_encounter_thunk,0x8D86,"jump 0x97D8"
0x8D98,0x8F20,code,combat_damage,0x8D98,"10*Trunc(((Rnd15+5)/1000)*(cash+cargoValue)); mutates damage; includes RET 2 operand"
0x8F21,0x97D7,code+strings,pirate_battle,0x8F21,"battle outcome treasure plunder damage; includes PUSH BP prologue byte"
0x97D8,0x9BE0,code+strings,pirate_encounter_body,0x97D8,"fight escape ransom UI; includes RET 4 operand"
0x9BE1,0x9CA9,code,overload_probability,0x9BE1,"Random(k)==0; includes prologue and RET 3 operand"
0x9CAA,0x9D1A,code,hazard_probability,0x9CAA,"Rnd(k) and Rnd(2) both unconditional; Boolean AND; includes prologue and RET 9 operand"
0x9D1B,0x9E61,code+strings,navigation_error,0x9D1B,"deterministic destination; Egypt->Turkey +4h; includes PUSH BP prologue byte"
0x9E62,0xA7F0,code+strings,voyage_event_engine,0x9E62,"hazard overload fog R2 derelict; includes RET 12 operand"
0xA7F1,0xA800,thunk,voyage_execute_thunk,0xA7F1,"jump 0xABB2; includes PUSH BP prologue byte"
0xA801,0xABB1,code+strings,guard_offer,0xA801,"price and purchase; includes RET 4 operand"
0xABB2,0xAEA1,code,voyage_execute_body,0xABB2,"midpoint animation and remaining legs"
0xAEA2,0xB29F,code+strings,travel_menu_body,0xAEA2,"destination duration arrival night risk; includes RET 11 operand"
0xB2A0,0xB2AC,thunk,repair_thunk,0xB2A0,"jump 0xB346; includes PUSH BP prologue byte"
0xB2AD,0xB345,code,repair_amount_validator,0xB2AD,"positive and <=cash; includes RET 7 operand"
0xB346,0xB4E0,code+strings,repair_body,0xB346,"amount limited by cash only; overpay allowed and wasted; includes RET 4 operand"
0xB4E1,0xB529,code,bankruptcy_predicate,0xB4E1,"damage > cash+bank+cargoValue; includes prologue and RET 1 operand"
0xB52A,0xBC0F,code+strings,day_and_port_menu,0xB52A,"new day/menu; bankruptcy only on day-loop exit at 0xBB8D"
0xBC10,0xC4DA,code+inline-data,resource_initializer,0xBC10,"loads assets and fills routing/coordinate tables; includes PUSH BP prologue byte"
0xC4DB,0xC5C6,code+strings,new_game_initializer,0xC4DB,"intro; initializes all game state; includes PUSH BP prologue byte"
0xC5C7,0xC5CE,thunk,high_score_thunk,0xC5C7,"jump 0xC7D4; includes PUSH BP prologue byte"
0xC5CF,0xC5D9,code,name_input_prologue,0xC5CF,"jumps over static keyboard data"
0xC5DA,0xC638,data,keyboard_translation_tables,,"allowed Hebrew/Latin/digit characters; final 0x20 is table data"
0xC639,0xC7D3,code,name_input_body,0xC639,"line editor and validation; includes RET 6 operand"
0xC7D4,0xCBB1,code+strings,high_score_manager,0xC7D4,"WINNERS.WIN 27-byte records; includes RET 6 operand"
0xCBB2,0xCC7F,code+strings,program_main,0xCBB2,"days 1..7 score replay exit"
0xCC80,0xCC81,padding,end_padding,,"two zero bytes after termination"
