mem_start,mem_end,file_start,file_end,class,subsystem,confidence,evidence
0x0100,0x0102,0x0000,0x0002,CODE,COM entry,exact,"E9 79 2C; unconditional jump to 0x2D7C"
0x0103,0x017B,0x0003,0x007B,DATA,Turbo Pascal 3 executable header,exact,"Borland copyright; compiler/version/config fields; Default display mode string and display tables; entry jumps over it"
0x017C,0x0191,0x007C,0x0091,CODE,TP3 CRT low-level output helper,exact,"reachable routine ending F8 C3"
0x0192,0x019A,0x0092,0x009A,DATA,TP3 interrupt/vector constants,exact,"79 00 FF A5 FE 00 F0 C7 06; located between RET and next routine"
0x019B,0x0C4C,0x009B,0x0B4C,CODE_MIXED_DATA,TP3 RTL video heap DOS startup,high,"executable routines with embedded globals/tables; direct calls and returns verified; explicit zero globals at 0x0A4D-55 and 0x0A59-61"
0x0C4D,0x0C88,0x0B4D,0x0B88,STRINGS,TP3 startup diagnostics,exact,"DOS $ strings: Not enough memory / Incorrect DOS version / Program aborted"
0x0C89,0x1067,0x0B89,0x0F67,CODE_MIXED_DATA,TP3 RTL initialization files keyboard errors,high,"reachable code; embedded short literals handled by caller convention"
0x1068,0x10CB,0x0F68,0x0FCB,STRINGS_INLINE,TP3 runtime-error messages,exact,"NUL/inline strings User Break I/O Run-time error PC= Program aborted embedded in error control flow"
0x10CC,0x18F2,0x0FCC,0x17F2,CODE_MIXED_DATA,TP3 RTL arithmetic RNG strings sets,high,"contains Random entry 0x10DA and string/set helpers; no game call site in assigned range"
0x18F3,0x1BDB,0x17F3,0x1ADB,CODE,TP3 6-byte Real library,exact,"normalization/load/store/arithmetic/comparison/conversion entrypoints; register-stack dispatch convention"
0x1BDC,0x2D7B,0x1ADC,0x2C7B,CODE_MIXED_DATA,TP3 RTL text/file/heap/DOS services,high,"reachable runtime routines with Pascal inline literals and small tables; final routine ends C3 before game unit startup"
0x2D7C,0x2D7E,0x2C7C,0x2C7E,CODE,BGI unit startup call,exact,"CALL 0x0AD6"
0x2D7F,0x2D92,0x2C7F,0x2C92,DATA,BGI unit initialization descriptor,exact,"20-byte compiler unit descriptor; impossible instruction stream and skipped by initialization path"
0x2D93,0x2D9E,0x2C93,0x2C9E,CODE_MIXED_DATA,BGI unit initialization/case dispatcher,high,"BP setup and CALL 0x0CCC followed by compiler dispatch metadata"
0x2D9F,0x2E16,0x2C9F,0x2D16,JUMP_TABLE,BGI exported API table,exact,"40 consecutive 3-byte E9 near jumps; all targets decoded"
0x2E17,0x3D5B,0x2D17,0x3C5B,CODE,BGI CGA graphics implementation,exact,"all exported targets and internal direct calls resolve here; routines end before static tables"
0x3D5C,0x3EA7,0x3C5C,0x3DA7,ZERO_DATA,BGI work/template table,exact,"332 consecutive zero bytes; no branch target; immediately follows RET at 0x3D5B"
0x3EA8,0x3F5B,0x3DA8,0x3E5B,LOOKUP_TABLE,BGI circle/trig signed lookup,exact,"monotonic signed values consumed by graphics rotation/circle routines; not reachable as code"
0x3F5C,0x4179,0x3E5C,0x4079,LOOKUP_TABLE,BGI line/fill pixel-pattern tables,exact,"structured repeated signed byte pairs and 0xAA sentinels; referenced through SI-relative table lookup"
0x417A,0x41A4,0x407A,0x40A4,ZERO_DATA,BGI reserved/default pattern,exact,"43 zero bytes"
0x41A5,0x41AC,0x40A5,0x40AC,LOOKUP_TABLE,BGI octant/order table,exact,"04 03 01 06 02 05 07 00; code starts with E9 at 0x41AD"
0x41AD,0x41AF,0x40AD,0x40AF,CODE,game support export trampoline,exact,"E9 3E 0A -> 0x4BEE (cross-range)"
0x41B0,0x41FC,0x40B0,0x40FC,CODE,wait for Enter or Escape helper,exact,"procedure prologue; loops on input helper; accepts 0x0D or 0x1B; RET at 0x41FB"
0x41FD,0x4311,0x40FD,0x4211,CODE,screen animation/display helper,exact,"procedure prologue; BGI calls; tests W/R; RET 0x006E at 0x430E"
0x4312,0x43BE,0x4212,0x42BE,CODE,load full-screen resource helper,exact,"assign/open/read 0x3F00/display/close; missing-file path; RET 0x001F"
0x43BF,0x4480,0x42BF,0x4380,CODE,load .WIN resource helper,exact,"appends .win; reads 0x2280; allocates/returns far buffer; RET 0x0023"
0x4481,0x44FF,0x4381,0x43FF,CODE,load day sign resource helper partial,exact,"procedure begins at 0x4481 and continues beyond assigned boundary to 0x4531+"
