code 0x2C86 -> data 0xB20C  "אין לך"
code 0x2D22 -> data 0x8DB8  "לרוע מזלך, ספינ"
code 0x2D28 -> data 0x805E  "אין לך כל-"
code 0x2D56 -> data 0xBA0B  "רציף התיקונים בנמל סגור"
code 0x2D70 -> data 0xB70C  "תורכיה"
code 0x2D82 -> data 0xB807  "לא ניתן"
code 0x2D8D -> data 0x880C  "אין לך כסף בבנק !"
code 0x2D90 -> data 0x8810  "אין לך כסף בבנ"
code 0x2D93 -> data 0x8812  "אין לך כסף ב"
code 0x2DC0 -> data 0xC51B  "ד 0987654321תשרקצץפףעסנןמםלכךיט"
code 0x2E0F -> data 0x4B80  "תורכי"
code 0x2E18 -> data 0x8910  "ףGי6"
code 0x2E31 -> data 0xB804  "לא ניתן לנ"
code 0x2E5F -> data 0x7CC3  "כספך אינו מאפש"
code 0x2E62 -> data 0xC80B  "וזכP"
code 0x2E6D -> data 0xB903  " הבנק  סגור  ה"
code 0x2E72 -> data 0x7CCA  "כספך אי"
code 0x2E74 -> data 0x880C  "אין לך כסף בבנק !"
code 0x2E7A -> data 0x880C  "אין לך כסף בבנק !"
code 0x2E97 -> data 0xB806  "לא ניתן "
code 0x2EC3 -> data 0x4E4F  "כVFכ"
code 0x2ECD -> data 0x8C32  "Qחכ6"
code 0x2F0F -> data 0xC50A  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:"
code 0x2F80 -> data 0x88E8  "ץGי6"
code 0x2F86 -> data 0x8957  "PףGכ6"
code 0x2F8C -> data 0x7515  "~ם הטון ש"
code 0x2F91 -> data 0x8932  "~םףG"
code 0x2F96 -> data 0x8926  "ץGי6"
code 0x2FAB -> data 0xC80B  "וזכP"
code 0x2FAE -> data 0x7352  "האם אתה "
code 0x2FB2 -> data 0x8926  "ץGי6"
code 0x2FC0 -> data 0x8926  "ץGי6"
code 0x2FE7 -> data 0xC80B  "וזכP"
code 0x2FEF -> data 0xA9F3  "אין לך כסף "
code 0x301B -> data 0xB4E9  "תקבענה על פי סכום"
code 0x3068 -> data 0x4303  "~ם אינו"
code 0x30A6 -> data 0x6DE8  "~ם שקל נלקחו "
code 0x30AF -> data 0x4B80  "תורכי"
code 0x310E -> data 0x8E08  "שווי "
code 0x3140 -> data 0x7706  "לכל טון"
code 0x3158 -> data 0x8032  "Fכר?"
code 0x3161 -> data 0x8926  "ץGי6"
code 0x317C -> data 0x7734  "~ם הט"
code 0x318A -> data 0x72CD  "לכל טון של"
code 0x3197 -> data 0x8926  "ץGי6"
code 0x31A1 -> data 0x7515  "~ם הטון ש"
code 0x31FE -> data 0x5A59  "כמה כסף אתה מ"
code 0x3232 -> data 0x7C0E  "~םyad"
code 0x3256 -> data 0x8926  "ץGי6"
code 0x327A -> data 0x8926  "ץGי6"
code 0x328B -> data 0x72D1  "לכל טו"
code 0x3296 -> data 0x8926  "ץGי6"
code 0x32BC -> data 0x5652  "אין ברשותך מספיק כסף"
code 0x3332 -> data 0x91AB  "הפירטים "
code 0x3336 -> data 0xAA06  "לספינות משמר"
code 0x3350 -> data 0x7704  "לכל טון ש"
code 0x3360 -> data 0xA8E8  "~ם, בשל הים הסוער."
code 0x336B -> data 0x8DB8  "לרוע מזלך, ספינ"
code 0x3370 -> data 0x745F  "סוחר זקוק בדח"
code 0x33EB -> data 0x8906  "ץGי6"
code 0x3487 -> data 0xB737  "FכWר"
code 0x348A -> data 0x8DB8  "לרוע מזלך, ספינ"
code 0x3494 -> data 0x7734  "~ם הט"
code 0x34B0 -> data 0x58E8  "אתה מוכן ל"
code 0x34C4 -> data 0xC4FC  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GX"
code 0x34CF -> data 0x8926  "ץGי6"
code 0x34DB -> data 0xAB06  "Nחך6"
code 0x34E4 -> data 0x8926  "ץGי6"
code 0x34F0 -> data 0x9FEB  "בלילה - עלית על שרטון."
code 0x34F5 -> data 0x8926  "ץGי6"
code 0x350A -> data 0x8926  "ץGי6"
code 0x3514 -> data 0x7AE9  "קנית !"
code 0x3572 -> data 0x88E8  "ץGי6"
code 0x358C -> data 0x8632  "אין לך כ"
code 0x359D -> data 0x8632  "אין לך כ"
code 0x35C8 -> data 0x8E04  "שווי הנזק"
code 0x35CB -> data 0x8E04  "שווי הנזק"
code 0x35CD -> data 0x8E04  "שווי הנזק"
code 0x35D0 -> data 0x8E06  "שווי הנ"
code 0x35D3 -> data 0x8E02  "שווי הנזק "
code 0x35D6 -> data 0x5717  "אין ברשותך"
code 0x3627 -> data 0xC80B  "וזכP"
code 0x36DC -> data 0x73C3  "נמכר !!!"
code 0x3708 -> data 0x5329  "FכPH"
code 0x3724 -> data 0xA8E8  "~ם, בשל הים הסוער."
code 0x3748 -> data 0x4301  "~ם אינו ק"
code 0x3752 -> data 0x4301  "~ם אינו ק"
code 0x37D0 -> data 0x8926  "ץGי6"
code 0x3819 -> data 0x4B80  "תורכי"
code 0x3842 -> data 0x4B80  "תורכי"
code 0x3846 -> data 0x6DE8  "~ם שקל נלקחו "
code 0x3868 -> data 0x4B80  "תורכי"
code 0x38AD -> data 0x894B  "PץGכ6"
code 0x38B3 -> data 0x745F  "סוחר זקוק בדח"
code 0x38DB -> data 0x8DB8  "לרוע מזלך, ספינ"
code 0x38E0 -> data 0xBA1D  "רציף "
code 0x38F2 -> data 0xB200  "אין לך כל-כך הרבה "
code 0x3926 -> data 0x8926  "ץGי6"
code 0x3928 -> data 0x8725  "~םסL"
code 0x3942 -> data 0x7515  "~ם הטון ש"
code 0x39A9 -> data 0x4B80  "תורכי"
code 0x39E7 -> data 0x8926  "ץGי6"
code 0x39F1 -> data 0x7515  "~ם הטון ש"
code 0x3A0A -> data 0x4303  "~ם אינו"
code 0x3A0E -> data 0x88E8  "ץGי6"
code 0x3A1C -> data 0x4303  "~ם אינו"
code 0x3A21 -> data 0x88E8  "ץGי6"
code 0x3A46 -> data 0xC80B  "וזכP"
code 0x3A67 -> data 0x7340  "האם אתה מעונין למכור לו ? "
code 0x3A7B -> data 0x4303  "~ם אינו"
code 0x3A8E -> data 0xAFE8  "ולא "
code 0x3AA8 -> data 0xBA1D  "רציף "
code 0x3AC4 -> data 0x7AE8  "קנית !!"
code 0x3AEB -> data 0x85DA  "פקיד הבנק קיבל א"
code 0x3B37 -> data 0x8926  "ץGי6"
code 0x3B41 -> data 0x7515  "~ם הטון ש"
code 0x3B6C -> data 0x4303  "~ם אינו"
code 0x3B75 -> data 0xC4F6  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GX"
code 0x3B7A -> data 0xC4F6  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GX"
code 0x3B8E -> data 0xC80A  "וזכPH"
code 0x3B98 -> data 0xC4F6  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GX"
code 0x3B9D -> data 0xC4F6  "ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GX"
code 0x3BAC -> data 0x58E9  "אתה מוכן "
code 0x3BDB -> data 0x9201  "הפירט"
code 0x3C07 -> data 0x76C1  "הוא מוכ"
code 0x3C3D -> data 0x85E4  "פקיד ה"
code 0x3C59 -> data 0x9201  "הפירט"
code 0x3DC5 -> data 0x8F42  "שודדי הים,"
code 0x3DCD -> data 0x8E53  "Fיבה"
code 0x3DDE -> data 0x772F  "~ם הטון של"
code 0x3DF0 -> data 0x9911  "לא הצלחת לברוח"
code 0x3DFE -> data 0xB0D5  "~םP`"
code 0x3E3F -> data 0x6FF8  "הצוות קיבל את הצעתך"
code 0x40E6 -> data 0xBAE8  "ה מ ש ח ק   ה ס ת י ם  ! "
code 0x4102 -> data 0xB800  "לא ניתן לנסוע"
code 0x4109 -> data 0x87BF  "אין לך "
code 0x4143 -> data 0x4B7E  "תורכיה"
code 0x415B -> data 0x4B7E  "תורכיה"
code 0x41E8 -> data 0xB800  "לא ניתן לנסוע"
code 0x41F8 -> data 0x87BF  "אין לך "
code 0x4248 -> data 0x9689  "נפגעה תוך כ"
code 0x4254 -> data 0x74E8  "לכל טון של"
code 0x4263 -> data 0x9681  "נפגעה תוך כדי הקרב."
code 0x426F -> data 0xAD7E  "ה ג ע ת   ב "
code 0x4271 -> data 0xB816  "בשעה כה מאוחרת"
code 0x427E -> data 0xAD7E  "ה ג ע ת   ב "
code 0x429C -> data 0xAD7E  "ה ג ע ת   ב "
code 0x42AC -> data 0xAD7E  "ה ג ע ת   ב "
code 0x42AE -> data 0xB816  "בשעה כה מאוחרת"
code 0x42EE -> data 0xCB2B  "האם את"
code 0x4300 -> data 0x9689  "נפגעה תוך כ"
code 0x431F -> data 0x9681  "נפגעה תוך כדי הקרב."
code 0x432B -> data 0xAD7E  "ה ג ע ת   ב "
code 0x432D -> data 0xB816  "בשעה כה מאוחרת"
code 0x4346 -> data 0xAD7E  "ה ג ע ת   ב "
code 0x439B -> data 0x74CD  ", אם תמכור לו"
code 0x43FA -> data 0x9689  "נפגעה תוך כ"
code 0x4426 -> data 0x9681  "נפגעה תוך כדי הקרב."
code 0x4432 -> data 0xAD7E  "ה ג ע ת   ב "
code 0x4434 -> data 0xB816  "בשעה כה מאוחרת"
code 0x444B -> data 0xAD7E  "ה ג ע ת   ב "
code 0x448F -> data 0xCB3B  "במשחק נוסף ? )כ/ל"
code 0x449C -> data 0xCB47  "במשחק"
code 0x44C7 -> data 0x9689  "נפגעה תוך כ"
code 0x44F3 -> data 0x9681  "נפגעה תוך כדי הקרב."
code 0x44FF -> data 0xAD7E  "ה ג ע ת   ב "
code 0x4501 -> data 0xB816  "בשעה כה מאוחרת"
code 0x450E -> data 0xAD7E  "ה ג ע ת   ב "
code 0x452C -> data 0x7AE8  "קנית !!"
code 0x456A -> data 0x7CC8  "כספך אינו"
code 0x45B1 -> data 0x7349  "האם אתה מעונין למ"
code 0x45EA -> data 0x7CC8  "כספך אינו"
code 0x4600 -> data 0x8403  "FכWק"
code 0x4608 -> data 0x7349  "האם אתה מעונין למ"
code 0x4627 -> data 0xAAE9  "Nחך6"
code 0x465C -> data 0x7CC8  "כספך אינו"
code 0x46A5 -> data 0x7349  "האם אתה מעונין למ"
code 0x46C9 -> data 0xB900  " הבנק  סגור  היום"
code 0x46E7 -> data 0x74D2  ", אם תמכ"
code 0x4703 -> data 0xC526  "ד 0987654321תשרקצץפף"
code 0x470E -> data 0xBAE8  "ה מ ש ח ק   ה ס ת י ם  ! "
code 0x4777 -> data 0xB900  " הבנק  סגור  היום"
code 0x47AD -> data 0x7CC8  "כספך אינו"
code 0x47F8 -> data 0xB70C  "תורכיה"
code 0x4844 -> data 0x7349  "האם אתה מעונין למ"
code 0x4862 -> data 0xC768  "חזכPH"
code 0x486F -> data 0xB800  "לא ניתן לנסוע"
code 0x48A9 -> data 0xC526  "ד 0987654321תשרקצץפף"
code 0x48CC -> data 0x88E8  "ץGי6"
code 0x48F9 -> data 0x74E8  "לכל טון של"
code 0x4900 -> data 0xB87D  "מאפשר לך להפליג"
code 0x4908 -> data 0xB816  "בשעה כה מאוחרת"
code 0x490D -> data 0xBAE8  "ה מ ש ח ק   ה ס ת י ם  ! "
code 0x4949 -> data 0x84E8  "אין לך כסף "
code 0x4980 -> data 0x8303  "אין "
code 0x49A7 -> data 0x9092  "מצאת מטמון"
code 0x49DF -> data 0xA0C2  "החמירה את הנזק ב"
code 0x49F7 -> data 0x8E04  "שווי הנזק"
code 0x49F8 -> data 0x848F  "~םLL"
code 0x4A40 -> data 0x74CF  ", אם תמכור "
code 0x4A4C -> data 0x8E04  "שווי הנזק"
code 0x4A4E -> data 0x9689  "נפגעה תוך כ"
code 0x4A64 -> data 0x968C  "נפגעה תו"
code 0x4A6D -> data 0xC55D  "Fט{M"
code 0x4AA3 -> data 0xB8FF  " הבנק  סגור  היום"
code 0x4AE0 -> data 0xB816  "בשעה כה מאוחרת"
code 0x4B40 -> data 0xB800  "לא ניתן לנסוע"
code 0x4B4F -> data 0x4BC3  "מצרי"
code 0x4B51 -> data 0x58E8  "אתה מוכן ל"
code 0x4B83 -> data 0x9985  "להשיג"
code 0x4BA2 -> data 0x9780  "ר~םL"
code 0x4BC7 -> data 0xAFE8  "ולא "
code 0x4C00 -> data 0x9985  "להשיג"
code 0x4C1C -> data 0x9780  "ר~םL"
code 0x4C45 -> data 0xB900  " הבנק  סגור  היום"
code 0x4C66 -> data 0x633D  "מחיר ה"
code 0x4D05 -> data 0x4BC1  "מצרים"
code 0x4D2E -> data 0xC5DE  "FכIA"
code 0x4D49 -> data 0xB8FF  " הבנק  סגור  היום"
code 0x4D78 -> data 0x58E4  "אתה מוכן לתת?"
code 0x4D82 -> data 0xB800  "לא ניתן לנסוע"
code 0x4E81 -> data 0xC910  "דזכ`"
code 0x4E89 -> data 0x58EC  "אתה מו"
